sample_index,time_s,xmodel_adc_code,xmodel_adc_signed,ltspice_th_adc_signed,error_lsb_ltspice_minus_xmodel,ltspice_direct_adc_signed,bit_exact,afe_out_v
0,0.001000,2028,-20,-21,-1,-21,0,-0.0165058859
1,0.002000,2020,-28,-29,-1,-29,0,-0.022296356
2,0.003000,2018,-30,-30,0,-30,1,-0.0236978922
3,0.004000,2018,-30,-31,-1,-31,0,-0.0238058288
4,0.005000,2017,-31,-31,0,-31,1,-0.0238470305
5,0.006000,2017,-31,-31,0,-31,1,-0.0242603049
6,0.007000,2017,-31,-32,-1,-32,0,-0.0251266509
7,0.008000,2015,-33,-34,-1,-34,0,-0.0263526253
8,0.009000,2015,-33,-35,-2,-35,0,-0.0277611967
9,0.010000,2015,-33,-37,-4,-37,0,-0.0291472487
10,0.011000,2009,-39,-39,0,-39,1,-0.030317327
11,0.012000,2009,-39,-40,-1,-40,0,-0.0311188158
12,0.013000,2008,-40,-40,0,-40,1,-0.0314591154
13,0.014000,2008,-40,-40,0,-40,1,-0.0313144177
14,0.015000,2009,-39,-39,0,-39,1,-0.0307281353
15,0.016000,2009,-39,-38,1,-38,0,-0.0298002437
16,0.017000,2010,-38,-37,1,-37,0,-0.0286696851
17,0.018000,2010,-38,-35,3,-35,0,-0.0274927504
18,0.019000,2010,-38,-34,4,-34,0,-0.0264206734
19,0.020000,2015,-33,-33,0,-33,1,-0.0255795605
20,0.021000,2015,-33,-32,1,-32,0,-0.0250551421
21,0.022000,2016,-32,-32,0,-32,1,-0.0248841122
22,0.023000,2018,-30,-29,1,-29,0,-0.022590911
23,0.024000,2020,-28,-28,0,-28,1,-0.0217707325
24,0.025000,2020,-28,-28,0,-28,1,-0.0220745355
25,0.026000,2017,-31,-31,0,-31,1,-0.0244579539
26,0.027000,2016,-32,-33,-1,-33,0,-0.0257360972
27,0.028000,2014,-34,-34,0,-34,1,-0.026710432
28,0.029000,2012,-36,-36,0,-36,1,-0.0278646108
29,0.030000,2012,-36,-36,0,-36,1,-0.0280396435
30,0.031000,2012,-36,-36,0,-36,1,-0.0280399192
31,0.032000,2012,-36,-36,0,-36,1,-0.0278690066
32,0.033000,2013,-35,-35,0,-35,1,-0.0273403432
33,0.034000,2013,-35,-35,0,-35,1,-0.0276339129
34,0.035000,2013,-35,-35,0,-35,1,-0.0276851263
35,0.036000,2013,-35,-35,0,-35,1,-0.0274856482
36,0.037000,2014,-34,-34,0,-34,1,-0.0268201157
37,0.038000,2014,-34,-34,0,-34,1,-0.0266407076
38,0.039000,2014,-34,-34,0,-34,1,-0.0269102324
39,0.040000,2013,-35,-36,-1,-36,0,-0.0278174412
40,0.041000,2012,-36,-36,0,-36,1,-0.0284499004
41,0.042000,2011,-37,-38,-1,-38,0,-0.0296771489
42,0.043000,2009,-39,-40,-1,-40,0,-0.0313197784
43,0.044000,2008,-40,-41,-1,-41,0,-0.031930849
44,0.045000,2007,-41,-41,0,-41,1,-0.0324677788
45,0.046000,2007,-41,-42,-1,-42,0,-0.0326861776
46,0.047000,2006,-42,-41,1,-41,0,-0.0325391069
47,0.048000,2007,-41,-42,-1,-42,0,-0.0327362083
48,0.049000,2006,-42,-42,0,-42,1,-0.0326558873
49,0.050000,2007,-41,-41,0,-41,1,-0.0324122757
50,0.051000,2008,-40,-39,1,-39,0,-0.0304640383
51,0.052000,2010,-38,-38,0,-38,1,-0.029698547
52,0.053000,2011,-37,-37,0,-37,1,-0.0289723389
53,0.054000,2012,-36,-35,1,-35,0,-0.0275703464
54,0.055000,2013,-35,-35,0,-35,1,-0.0272303019
55,0.056000,2012,-36,-36,0,-36,1,-0.0284798313
56,0.057000,2010,-38,-38,0,-38,1,-0.030056918
57,0.058000,2009,-39,-39,0,-39,1,-0.0304895602
58,0.059000,2009,-39,-39,0,-39,1,-0.0308876149
59,0.060000,2009,-39,-39,0,-39,1,-0.0309248455
60,0.061000,2009,-39,-39,0,-39,1,-0.0306896679
61,0.062000,2008,-40,-40,0,-40,1,-0.0314614549
62,0.063000,2008,-40,-40,0,-40,1,-0.0316588618
63,0.064000,2008,-40,-40,0,-40,1,-0.0314253941
64,0.065000,2009,-39,-39,0,-39,1,-0.030315781
65,0.066000,2010,-38,-38,0,-38,1,-0.0300113615
66,0.067000,2011,-37,-37,0,-37,1,-0.0288392417
67,0.068000,2013,-35,-34,1,-34,0,-0.0269139614
68,0.069000,2014,-34,-34,0,-34,1,-0.0264997818
69,0.070000,2016,-32,-32,0,-32,1,-0.024973141
70,0.071000,2017,-31,-31,0,-31,1,-0.0237946846
71,0.072000,2018,-30,-30,0,-30,1,-0.0234039985
72,0.073000,2016,-32,-32,0,-32,1,-0.0251010917
73,0.074000,2016,-32,-33,-1,-33,0,-0.0257269796
74,0.075000,2015,-33,-33,0,-33,1,-0.0254402384
75,0.076000,2012,-36,-37,-1,-37,0,-0.0287772827
76,0.077000,2011,-37,-38,-1,-38,0,-0.0294490699
77,0.078000,2010,-38,-38,0,-38,1,-0.0296589322
78,0.079000,2009,-39,-39,0,-39,1,-0.030643072
79,0.080000,2009,-39,-39,0,-39,1,-0.0308615863
80,0.081000,2006,-42,-42,0,-42,1,-0.032924816
81,0.082000,2004,-44,-45,-1,-45,0,-0.0356344953
82,0.083000,2002,-46,-47,-1,-47,0,-0.0369913056
83,0.084000,2001,-47,-47,0,-47,1,-0.0370780677
84,0.085000,2001,-47,-47,0,-47,1,-0.0374104604
85,0.086000,2000,-48,-48,0,-48,1,-0.0381108746
86,0.087000,1998,-50,-52,-2,-52,0,-0.0409650654
87,0.088000,1994,-54,-54,0,-54,1,-0.0424154885
88,0.089000,1994,-54,-54,0,-54,1,-0.0429996736
89,0.090000,1993,-55,-55,0,-55,1,-0.0434890129
90,0.091000,1993,-55,-55,0,-55,1,-0.0432836674
91,0.092000,1994,-54,-55,-1,-55,0,-0.0432284847
92,0.093000,1993,-55,-55,0,-55,1,-0.0433899462
93,0.094000,1994,-54,-54,0,-54,1,-0.0429478772
94,0.095000,1993,-55,-55,0,-55,1,-0.0435745642
95,0.096000,1993,-55,-56,-1,-56,0,-0.0440723263
96,0.097000,1992,-56,-56,0,-56,1,-0.0440780856
97,0.098000,1992,-56,-56,0,-56,1,-0.0440804996
98,0.099000,1992,-56,-56,0,-56,1,-0.0442445576
99,0.100000,1992,-56,-56,0,-56,1,-0.0445890836
100,0.101000,1992,-56,-57,-1,-57,0,-0.04506341
101,0.102000,1991,-57,-58,-1,-58,0,-0.0455860347
102,0.103000,1990,-58,-58,0,-58,1,-0.0457261615
103,0.104000,1991,-57,-57,0,-57,1,-0.0451434925
104,0.105000,1991,-57,-57,0,-57,1,-0.0450367071
105,0.106000,1992,-56,-56,0,-56,1,-0.044331383
106,0.107000,1992,-56,-55,1,-55,0,-0.043339435
107,0.108000,1993,-55,-54,1,-54,0,-0.0426963456
108,0.109000,1994,-54,-54,0,-54,1,-0.0429716036
109,0.110000,1994,-54,-54,0,-54,1,-0.0428690687
110,0.111000,1994,-54,-54,0,-54,1,-0.0423193574
111,0.112000,1994,-54,-54,0,-54,1,-0.0427284688
112,0.113000,1994,-54,-54,0,-54,1,-0.0425925404
113,0.114000,1994,-54,-54,0,-54,1,-0.0425544344
114,0.115000,1993,-55,-56,-1,-56,0,-0.0439307243
115,0.116000,1993,-55,-56,-1,-56,0,-0.0444244668
116,0.117000,1992,-56,-57,-1,-57,0,-0.0447371341
117,0.118000,1992,-56,-57,-1,-57,0,-0.0451020524
118,0.119000,1991,-57,-58,-1,-58,0,-0.0455566086
119,0.120000,1991,-57,-58,-1,-58,0,-0.0460564531
120,0.121000,1991,-57,-59,-2,-59,0,-0.0465283245
121,0.122000,1991,-57,-59,-2,-59,0,-0.0468979813
122,0.123000,1989,-59,-59,0,-59,1,-0.0471065044
123,0.124000,1989,-59,-59,0,-59,1,-0.0471195802
124,0.125000,1989,-59,-59,0,-59,1,-0.046931278
125,0.126000,1990,-58,-58,0,-58,1,-0.0459939986
126,0.127000,1991,-57,-57,0,-57,1,-0.0452907048
127,0.128000,1991,-57,-57,0,-57,1,-0.0450047553
128,0.129000,1991,-57,-57,0,-57,1,-0.0453558527
129,0.130000,1991,-57,-57,0,-57,1,-0.0451068878
130,0.131000,1991,-57,-57,0,-57,1,-0.0453375727
131,0.132000,1990,-58,-58,0,-58,1,-0.0457664542
132,0.133000,1990,-58,-58,0,-58,1,-0.0458019972
133,0.134000,1992,-56,-56,0,-56,1,-0.0440288261
134,0.135000,1993,-55,-54,1,-54,0,-0.0430055112
135,0.136000,1994,-54,-54,0,-54,1,-0.042928651
136,0.137000,1994,-54,-53,1,-53,0,-0.0421330519
137,0.138000,1995,-53,-53,0,-53,1,-0.0420163311
138,0.139000,1995,-53,-53,0,-53,1,-0.0421536379
139,0.140000,1995,-53,-53,0,-53,1,-0.0422347039
140,0.141000,1995,-53,-53,0,-53,1,-0.0421361364
141,0.142000,1995,-53,-53,0,-53,1,-0.0420730487
142,0.143000,1995,-53,-53,0,-53,1,-0.0420057848
143,0.144000,1995,-53,-53,0,-53,1,-0.0415162854
144,0.145000,1996,-52,-52,0,-52,1,-0.0412685573
145,0.146000,1996,-52,-52,0,-52,1,-0.0409440994
146,0.147000,1996,-52,-51,1,-51,0,-0.0404882357
147,0.148000,1995,-53,-53,0,-53,1,-0.0420853645
148,0.149000,1994,-54,-54,0,-54,1,-0.0429022759
149,0.150000,1994,-54,-55,-1,-55,0,-0.0431659929
150,0.151000,1995,-53,-53,0,-53,1,-0.0416604988
151,0.152000,1996,-52,-52,0,-52,1,-0.0413572341
152,0.153000,1995,-53,-53,0,-53,1,-0.0419551656
153,0.154000,1994,-54,-55,-1,-55,0,-0.0433446392
154,0.155000,1993,-55,-56,-1,-56,0,-0.0440694354
155,0.156000,1993,-55,-55,0,-55,1,-0.0431962609
156,0.157000,1994,-54,-53,1,-53,0,-0.0417929217
157,0.158000,1995,-53,-52,1,-52,0,-0.0412491821
158,0.159000,1995,-53,-53,0,-53,1,-0.041786246
159,0.160000,1995,-53,-53,0,-53,1,-0.04194526
160,0.161000,1995,-53,-53,0,-53,1,-0.0415768921
161,0.162000,1995,-53,-53,0,-53,1,-0.0420514867
162,0.163000,1995,-53,-53,0,-53,1,-0.0418585353
163,0.164000,1996,-52,-53,-1,-53,0,-0.0416554846
164,0.165000,1994,-54,-54,0,-54,1,-0.0427886806
165,0.166000,1994,-54,-54,0,-54,1,-0.0429999679
166,0.167000,1994,-54,-55,-1,-55,0,-0.0432765633
167,0.168000,1993,-55,-55,0,-55,1,-0.0438253917
168,0.169000,1992,-56,-56,0,-56,1,-0.0442384928
169,0.170000,1991,-57,-58,-1,-58,0,-0.0458732359
170,0.171000,1988,-60,-60,0,-60,1,-0.0473196283
171,0.172000,1988,-60,-61,-1,-61,0,-0.0480648093
172,0.173000,1985,-63,-64,-1,-64,0,-0.0509638563
173,0.174000,1982,-66,-66,0,-66,1,-0.0524865948
174,0.175000,1982,-66,-67,-1,-67,0,-0.0529192798
175,0.176000,1979,-69,-70,-1,-70,0,-0.0557540618
176,0.177000,1977,-71,-71,0,-71,1,-0.0565617159
177,0.178000,1977,-71,-71,0,-71,1,-0.0565483645
178,0.179000,1977,-71,-71,0,-71,1,-0.0563035347
179,0.180000,1977,-71,-71,0,-71,1,-0.0560684018
180,0.181000,1977,-71,-72,-1,-72,0,-0.0571744293
181,0.182000,1974,-74,-74,0,-74,1,-0.0586781241
182,0.183000,1974,-74,-74,0,-74,1,-0.0592141189
183,0.184000,1969,-79,-80,-1,-80,0,-0.0639214143
184,0.185000,1964,-84,-84,0,-84,1,-0.0669480786
185,0.186000,1963,-85,-85,0,-85,1,-0.067897141
186,0.187000,1960,-88,-90,-2,-90,0,-0.0713636577
187,0.188000,1957,-91,-91,0,-91,1,-0.0728363171
188,0.189000,1957,-91,-92,-1,-92,0,-0.0733283013
189,0.190000,1956,-92,-92,0,-92,1,-0.0735732839
190,0.191000,1956,-92,-93,-1,-93,0,-0.0738210604
191,0.192000,1958,-90,-89,1,-89,0,-0.0711921528
192,0.193000,1963,-85,-83,2,-83,0,-0.0664328113
193,0.194000,1965,-83,-82,1,-82,0,-0.065189749
194,0.195000,1972,-76,-72,4,-72,0,-0.0575455651
195,0.196000,1982,-66,-65,1,-65,0,-0.0515120737
196,0.197000,1984,-64,-63,1,-63,0,-0.0496194661
197,0.198000,2000,-48,-48,0,-48,1,-0.0379941016
198,0.199000,2005,-43,-40,3,-40,0,-0.0315630436
199,0.200000,2009,-39,-37,2,-37,0,-0.0288458616
200,0.201000,2035,-13,-13,0,-13,1,-0.00995288603
201,0.202000,2044,-4,-4,0,-4,1,-0.00208578329
202,0.203000,2056,8,9,1,9,0,0.00798994582
203,0.204000,2080,32,34,2,34,0,0.0283090603
204,0.205000,2088,40,44,4,44,0,0.0360199325
205,0.206000,2109,61,67,6,67,0,0.0551985279
206,0.207000,2142,94,94,0,94,1,0.0766753629
207,0.208000,2151,103,104,1,104,0,0.084322311
208,0.209000,2176,128,135,7,135,0,0.109272428
209,0.210000,2202,154,154,0,154,1,0.125198305
210,0.211000,2207,159,162,3,162,0,0.131037548
211,0.212000,2226,178,186,8,186,0,0.150952131
212,0.213000,2243,195,198,3,198,0,0.160633013
213,0.214000,2253,205,205,0,205,1,0.16633971
214,0.215000,2265,217,217,0,217,1,0.175938264
215,0.216000,2272,224,224,0,224,1,0.181012422
216,0.217000,2272,224,223,-1,223,0,0.18082419
217,0.218000,2267,219,219,0,219,1,0.177221626
218,0.219000,2267,219,219,0,219,1,0.177449241
219,0.220000,2252,204,196,-8,196,0,0.159046501
220,0.221000,2230,182,178,-4,178,0,0.143895373
221,0.222000,2223,175,172,-3,172,0,0.139012635
222,0.223000,2174,126,126,0,126,1,0.10230349
223,0.224000,2150,102,101,-1,101,0,0.0820665509
224,0.225000,2141,93,91,-2,91,0,0.0738720149
225,0.226000,2091,43,37,-6,37,0,0.030675903
226,0.227000,2065,17,14,-3,14,0,0.0122540155
227,0.228000,2046,-2,-5,-3,-5,0,-0.00357359066
228,0.229000,2015,-33,-37,-4,-37,0,-0.0289077703
229,0.230000,2002,-46,-52,-6,-52,0,-0.040805459
230,0.231000,1985,-63,-66,-3,-66,0,-0.0524088368
231,0.232000,1970,-78,-80,-2,-80,0,-0.0633586198
232,0.233000,1970,-78,-87,-9,-87,0,-0.0697025582
233,0.234000,1958,-90,-92,-2,-92,0,-0.0729671568
234,0.235000,1958,-90,-94,-4,-94,0,-0.0750946328
235,0.236000,1952,-96,-96,0,-96,1,-0.0763395056
236,0.237000,1956,-92,-89,3,-89,0,-0.0706103444
237,0.238000,1960,-88,-84,4,-84,0,-0.0671481714
238,0.239000,1967,-81,-80,1,-80,0,-0.0638752952
239,0.240000,1976,-72,-72,0,-72,1,-0.0570273921
240,0.241000,1976,-72,-67,5,-67,0,-0.052838169
241,0.242000,1984,-64,-62,2,-62,0,-0.0493963882
242,0.243000,1987,-61,-58,3,-58,0,-0.0463208146
243,0.244000,1991,-57,-56,1,-56,0,-0.0440800004
244,0.245000,1993,-55,-55,0,-55,1,-0.0433816239
245,0.246000,1993,-55,-55,0,-55,1,-0.0432874784
246,0.247000,1993,-55,-55,0,-55,1,-0.0434688367
247,0.248000,1993,-55,-57,-2,-57,0,-0.0451272614
248,0.249000,1993,-55,-59,-4,-59,0,-0.046763964
249,0.250000,1993,-55,-61,-6,-61,0,-0.0483186692
250,0.251000,1987,-61,-61,0,-61,1,-0.0481235646
251,0.252000,1987,-61,-62,-1,-62,0,-0.0488756523
252,0.253000,1985,-63,-63,0,-63,1,-0.0495980196
253,0.254000,1985,-63,-63,0,-63,1,-0.0497174449
254,0.255000,1985,-63,-63,0,-63,1,-0.0496712811
255,0.256000,1986,-62,-61,1,-61,0,-0.0485864058
256,0.257000,1989,-59,-59,0,-59,1,-0.046920903
257,0.258000,1989,-59,-57,2,-57,0,-0.0454466864
258,0.259000,1991,-57,-55,2,-55,0,-0.0435245745
259,0.260000,1993,-55,-53,2,-53,0,-0.0418052003
260,0.261000,1997,-51,-51,0,-51,1,-0.0404533669
261,0.262000,1997,-51,-51,0,-51,1,-0.0405164957
262,0.263000,1997,-51,-51,0,-51,1,-0.040345788
263,0.264000,1997,-51,-51,0,-51,1,-0.0405046679
264,0.265000,1996,-52,-53,-1,-53,0,-0.0422424972
265,0.266000,1994,-54,-55,-1,-55,0,-0.0431924202
266,0.267000,1993,-55,-56,-1,-56,0,-0.0442282073
267,0.268000,1993,-55,-57,-2,-57,0,-0.0454509296
268,0.269000,1990,-58,-59,-1,-59,0,-0.0463668294
269,0.270000,1989,-59,-58,1,-58,0,-0.0458973348
270,0.271000,1990,-58,-57,1,-57,0,-0.0454496928
271,0.272000,1991,-57,-57,0,-57,1,-0.0454464592
272,0.273000,1990,-58,-60,-2,-60,0,-0.0473719388
273,0.274000,1988,-60,-61,-1,-61,0,-0.0481247492
274,0.275000,1987,-61,-60,1,-60,0,-0.0478781052
275,0.276000,1990,-58,-58,0,-58,1,-0.0460508205
276,0.277000,1990,-58,-57,1,-57,0,-0.0448095575
277,0.278000,1992,-56,-55,1,-55,0,-0.0437242016
278,0.279000,1994,-54,-54,0,-54,1,-0.0425683856
279,0.280000,1995,-53,-53,0,-53,1,-0.0419589654
280,0.281000,1995,-53,-53,0,-53,1,-0.0419958122
281,0.282000,1995,-53,-54,-1,-54,0,-0.0423413776
282,0.283000,1995,-53,-54,-1,-54,0,-0.0425926782
283,0.284000,1994,-54,-54,0,-54,1,-0.0424162038
284,0.285000,1994,-54,-54,0,-54,1,-0.0424266011
