sample_index,time_s,afe_out_v,adc_hold_v,adc_clip_v,th_adc_code,th_adc_signed,th_hex12,direct_adc_code,direct_adc_signed
0,0.001,-0.0165058858693,-0.0165004357696,-0.0165004357696,2027,-21,FEB,2027,-21
1,0.002,-0.0222963560373,-0.022294845432,-0.022294845432,2019,-29,FE3,2019,-29
2,0.003,-0.0236978922039,-0.0236976370215,-0.0236976370215,2018,-30,FE2,2018,-30
3,0.004,-0.023805828765,-0.0238061882555,-0.0238061882555,2017,-31,FE1,2017,-31
4,0.005,-0.0238470304757,-0.0238469894975,-0.0238469894975,2017,-31,FE1,2017,-31
5,0.006,-0.0242603048682,-0.0242608673871,-0.0242608673871,2017,-31,FE1,2017,-31
6,0.007,-0.0251266509295,-0.0251280460507,-0.0251280460507,2016,-32,FE0,2016,-32
7,0.008,-0.0263526253402,-0.0263512339443,-0.0263512339443,2014,-34,FDE,2014,-34
8,0.009,-0.0277611967176,-0.0277604199946,-0.0277604199946,2013,-35,FDD,2013,-35
9,0.01,-0.0291472487152,-0.0291465185583,-0.0291465185583,2011,-37,FDB,2011,-37
10,0.011,-0.0303173270077,-0.0303167626262,-0.0303167626262,2009,-39,FD9,2009,-39
11,0.012,-0.0311188157648,-0.0311204362661,-0.0311204362661,2008,-40,FD8,2008,-40
12,0.013,-0.0314591154456,-0.0314599238336,-0.0314599238336,2008,-40,FD8,2008,-40
13,0.014,-0.0313144177198,-0.0313143469393,-0.0313143469393,2008,-40,FD8,2008,-40
14,0.015,-0.030728135258,-0.0307272411883,-0.0307272411883,2009,-39,FD9,2009,-39
15,0.016,-0.0298002436757,-0.029798688367,-0.029798688367,2010,-38,FDA,2010,-38
16,0.017,-0.0286696851254,-0.0286677069962,-0.0286677069962,2011,-37,FDB,2011,-37
17,0.018,-0.0274927504361,-0.027493391186,-0.027493391186,2013,-35,FDD,2013,-35
18,0.019,-0.0264206733555,-0.0264186747372,-0.0264186747372,2014,-34,FDE,2014,-34
19,0.02,-0.0255795605481,-0.0255779437721,-0.0255779437721,2015,-33,FDF,2015,-33
20,0.021,-0.0250551421195,-0.0250540710986,-0.0250540710986,2016,-32,FE0,2016,-32
21,0.022,-0.0248841121793,-0.024883672595,-0.024883672595,2016,-32,FE0,2016,-32
22,0.023,-0.0225909110159,-0.0225909352303,-0.0225909352303,2019,-29,FE3,2019,-29
23,0.024,-0.0217707324773,-0.0217707771808,-0.0217707771808,2020,-28,FE4,2020,-28
24,0.025,-0.0220745354891,-0.0220748689026,-0.0220748689026,2020,-28,FE4,2020,-28
25,0.026,-0.0244579538703,-0.0244578439742,-0.0244578439742,2017,-31,FE1,2017,-31
26,0.027,-0.0257360972464,-0.0257355924696,-0.0257355924696,2015,-33,FDF,2015,-33
27,0.028,-0.0267104320228,-0.0267092846334,-0.0267092846334,2014,-34,FDE,2014,-34
28,0.029,-0.0278646107763,-0.027864286676,-0.027864286676,2012,-36,FDC,2012,-36
29,0.03,-0.028039643541,-0.0280403289944,-0.0280403289944,2012,-36,FDC,2012,-36
30,0.031,-0.0280399192125,-0.0280397757888,-0.0280397757888,2012,-36,FDC,2012,-36
31,0.032,-0.0278690066189,-0.0278689004481,-0.0278689004481,2012,-36,FDC,2012,-36
32,0.033,-0.027340343222,-0.0273394566029,-0.0273394566029,2013,-35,FDD,2013,-35
33,0.034,-0.0276339128613,-0.0276345424354,-0.0276345424354,2013,-35,FDD,2013,-35
34,0.035,-0.0276851262897,-0.02768538706,-0.02768538706,2013,-35,FDD,2013,-35
35,0.036,-0.0274856481701,-0.0274852942675,-0.0274852942675,2013,-35,FDD,2013,-35
36,0.037,-0.0268201157451,-0.0268203709275,-0.0268203709275,2014,-34,FDE,2014,-34
37,0.038,-0.0266407076269,-0.0266400966793,-0.0266400966793,2014,-34,FDE,2014,-34
38,0.039,-0.02691023238,-0.0269098114222,-0.0269098114222,2014,-34,FDE,2014,-34
39,0.04,-0.0278174411505,-0.0278170332313,-0.0278170332313,2012,-36,FDC,2012,-36
40,0.041,-0.0284499004483,-0.0284496862441,-0.0284496862441,2012,-36,FDC,2012,-36
41,0.042,-0.0296771489084,-0.0296756997705,-0.0296756997705,2010,-38,FDA,2010,-38
42,0.043,-0.0313197784126,-0.0313192307949,-0.0313192307949,2008,-40,FD8,2008,-40
43,0.044,-0.0319308489561,-0.0319306738675,-0.0319306738675,2007,-41,FD7,2007,-41
44,0.045,-0.0324677787721,-0.0324690788984,-0.0324690788984,2007,-41,FD7,2007,-41
45,0.046,-0.0326861776412,-0.0326867587864,-0.0326867587864,2006,-42,FD6,2006,-42
46,0.047,-0.0325391069055,-0.0325389243662,-0.0325389243662,2007,-41,FD7,2007,-41
47,0.048,-0.0327362082899,-0.0327367708087,-0.0327367708087,2006,-42,FD6,2006,-42
