# sample_index adc_code aperture_ns
1 2028 1000000
2 2020 2000000
3 2018 3000000
4 2018 4000000
5 2017 5000000
6 2017 6000000
7 2017 7000000
8 2015 8000000
9 2015 9000000
10 2015 10000000
11 2009 11000000
12 2009 12000000
13 2008 13000000
14 2008 14000000
15 2009 15000000
16 2009 16000000
17 2010 17000000
18 2010 18000000
19 2010 19000000
20 2015 20000000
21 2015 21000000
22 2016 22000000
23 2018 23000000
24 2020 24000000
25 2020 25000000
26 2017 26000000
27 2016 27000000
28 2014 28000000
29 2012 29000000
30 2012 30000000
31 2012 31000000
32 2012 32000000
33 2013 33000000
34 2013 34000000
35 2013 35000000
36 2013 36000000
37 2014 37000000
38 2014 38000000
39 2014 39000000
40 2013 40000000
41 2012 41000000
42 2011 42000000
43 2009 43000000
44 2008 44000000
45 2007 45000000
46 2007 46000000
47 2006 47000000
48 2007 48000000
49 2006 49000000
50 2007 50000000
51 2008 51000000
52 2010 52000000
53 2011 53000000
54 2012 54000000
55 2013 55000000
56 2012 56000000
57 2010 57000000
58 2009 58000000
59 2009 59000000
60 2009 60000000
61 2009 61000000
62 2008 62000000
63 2008 63000000
64 2008 64000000
65 2009 65000000
66 2010 66000000
67 2011 67000000
68 2013 68000000
69 2014 69000000
70 2016 70000000
71 2017 71000000
72 2018 72000000
73 2016 73000000
74 2016 74000000
75 2015 75000000
76 2012 76000000
77 2011 77000000
78 2010 78000000
79 2009 79000000
80 2009 80000000
81 2006 81000000
82 2004 82000000
83 2002 83000000
84 2001 84000000
85 2001 85000000
86 2000 86000000
87 1998 87000000
88 1994 88000000
89 1994 89000000
90 1993 90000000
91 1993 91000000
92 1994 92000000
93 1993 93000000
94 1994 94000000
95 1993 95000000
96 1993 96000000
97 1992 97000000
98 1992 98000000
99 1992 99000000
100 1992 100000000
101 1992 101000000
102 1991 102000000
103 1990 103000000
104 1991 104000000
105 1991 105000000
106 1992 106000000
107 1992 107000000
108 1993 108000000
109 1994 109000000
110 1994 110000000
111 1994 111000000
112 1994 112000000
113 1994 113000000
114 1994 114000000
115 1993 115000000
116 1993 116000000
117 1992 117000000
118 1992 118000000
119 1991 119000000
120 1991 120000000
121 1991 121000000
122 1991 122000000
123 1989 123000000
124 1989 124000000
125 1989 125000000
126 1990 126000000
127 1991 127000000
128 1991 128000000
129 1991 129000000
130 1991 130000000
131 1991 131000000
132 1990 132000000
133 1990 133000000
134 1992 134000000
135 1993 135000000
136 1994 136000000
137 1994 137000000
138 1995 138000000
139 1995 139000000
140 1995 140000000
141 1995 141000000
142 1995 142000000
143 1995 143000000
144 1995 144000000
145 1996 145000000
146 1996 146000000
147 1996 147000000
148 1995 148000000
149 1994 149000000
150 1994 150000000
151 1995 151000000
152 1996 152000000
153 1995 153000000
154 1994 154000000
155 1993 155000000
156 1993 156000000
157 1994 157000000
158 1995 158000000
159 1995 159000000
160 1995 160000000
161 1995 161000000
162 1995 162000000
163 1995 163000000
164 1996 164000000
165 1994 165000000
166 1994 166000000
167 1994 167000000
168 1993 168000000
169 1992 169000000
170 1991 170000000
171 1988 171000000
172 1988 172000000
173 1985 173000000
174 1982 174000000
175 1982 175000000
176 1979 176000000
177 1977 177000000
178 1977 178000000
179 1977 179000000
180 1977 180000000
181 1977 181000000
182 1974 182000000
183 1974 183000000
184 1969 184000000
185 1964 185000000
186 1963 186000000
187 1960 187000000
188 1957 188000000
189 1957 189000000
190 1956 190000000
191 1956 191000000
192 1958 192000000
193 1963 193000000
194 1965 194000000
195 1972 195000000
196 1982 196000000
197 1984 197000000
198 2000 198000000
199 2005 199000000
200 2009 200000000
201 2035 201000000
202 2044 202000000
203 2056 203000000
204 2080 204000000
205 2088 205000000
206 2109 206000000
207 2142 207000000
208 2151 208000000
209 2176 209000000
210 2202 210000000
211 2207 211000000
212 2226 212000000
213 2243 213000000
214 2253 214000000
215 2265 215000000
216 2272 216000000
217 2272 217000000
218 2267 218000000
219 2267 219000000
220 2252 220000000
221 2230 221000000
222 2223 222000000
223 2174 223000000
224 2150 224000000
225 2141 225000000
226 2091 226000000
227 2065 227000000
228 2046 228000000
229 2015 229000000
230 2002 230000000
231 1985 231000000
232 1970 232000000
233 1970 233000000
234 1958 234000000
235 1958 235000000
236 1952 236000000
237 1956 237000000
238 1960 238000000
239 1967 239000000
240 1976 240000000
241 1976 241000000
242 1984 242000000
243 1987 243000000
244 1991 244000000
245 1993 245000000
246 1993 246000000
247 1993 247000000
248 1993 248000000
249 1993 249000000
250 1993 250000000
251 1987 251000000
